City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,cleburne,32.35,-97.39,88.0,70,20,13.87,US,1599585778
88,srednekolymsk,67.45,153.68,41.65,81,94,5.41,RU,1599585470
89,bluff,-46.6,168.33,45.0,72,74,11.01,NZ,1599586055
90,ejido,8.55,-71.24,76.35,60,100,3.71,VE,1599585779
91,east london,-33.02,27.91,66.2,93,0,10.29,ZA,1599586055
92,kharp,66.8,65.81,54.81,90,100,4.12,RU,1599585779
93,ribeira grande,38.52,-28.7,77.0,69,40,11.41,PT,1599586056
94,pevek,69.7,170.31,40.5,91,73,6.13,RU,1599585461
95,rondonopolis,-16.47,-54.64,106.93,10,1,4.47,BR,1599585702
96,chokurdakh,70.63,147.92,41.32,88,100,9.01,RU,1599586056
97,huangzhou,30.45,114.8,80.6,74,100,2.24,CN,1599585780
98,upernavik,72.79,-56.15,37.08,80,100,8.41,GL,1599585492
99,luderitz,-26.65,15.16,65.19,58,0,11.68,NA,1599585495
100,acuexcomac,19.03,-98.38,69.8,56,40,6.42,MX,1599585782
101,talnakh,69.49,88.4,50.0,71,12,4.47,RU,1599586057
102,san jose,37.34,-121.89,82.0,73,90,6.93,US,1599585682
103,yellowknife,62.46,-114.35,59.0,58,40,12.75,CA,1599586057
104,hithadhoo,-0.6,73.08,82.13,78,44,12.28,MV,1599586057
105,nanakuli,21.39,-158.15,78.8,73,1,5.82,US,1599585782
106,sisimiut,66.94,-53.67,42.58,63,0,2.15,GL,1599585783
107,neiba,18.5,-71.42,87.8,70,20,13.87,DO,1599585783
108,bantogon,6.53,124.03,77.9,81,98,4.83,PH,1599585783
109,atuona,-9.8,-139.03,77.94,74,65,25.12,PF,1599586058
110,saint george,37.1,-113.58,68.0,20,1,16.11,US,1599586058
111,coihaique,-45.58,-72.07,44.6,60,40,6.93,CL,1599585783
112,dingle,11.0,122.67,77.99,86,97,4.41,PH,1599585471
113,villazon,-22.09,-65.59,64.62,15,100,4.23,BO,1599585784
114,karratha,-20.74,116.85,77.86,38,0,11.92,AU,1599585784
115,cayenne,4.93,-52.33,91.4,59,75,2.24,GF,1599586059
116,severo-kurilsk,50.68,156.12,49.53,90,100,16.64,RU,1599586059
117,lebu,-37.62,-73.65,51.49,90,100,5.79,CL,1599586059
118,chaihe,44.77,129.7,58.89,94,100,18.66,CN,1599585785
119,qaanaaq,77.48,-69.36,28.26,94,100,12.46,GL,1599586060
120,hofn,64.25,-15.21,47.66,58,0,4.94,IS,1599585493
121,shimoda,34.67,138.95,72.0,89,50,1.01,JP,1599585785
122,viedma,-40.81,-63.0,66.0,54,86,8.99,AR,1599585785
123,savannah bight,16.45,-85.85,83.7,74,49,6.58,HN,1599585786
124,bengkulu,-3.8,102.27,77.81,85,67,5.66,ID,1599586060
125,alihe,50.57,123.72,55.15,86,100,5.86,CN,1599585499
126,bontang,0.13,117.5,78.15,86,53,5.44,ID,1599585515
127,haverfordwest,51.8,-4.97,62.6,93,88,20.8,GB,1599585786
128,boa vista,2.82,-60.67,84.2,66,75,2.24,BR,1599585629
129,dikson,73.51,80.55,44.44,92,100,24.79,RU,1599586061
130,bougouni,11.42,-7.48,80.69,85,97,3.51,ML,1599585527
131,medea,36.26,2.75,75.2,69,40,9.17,DZ,1599585787
132,waingapu,-9.66,120.26,75.07,84,100,9.08,ID,1599585787
133,lodja,-3.48,23.43,81.39,55,66,1.9,CD,1599585787
134,agdas,40.65,47.48,75.2,47,40,9.17,AZ,1599585788
135,saint-joseph,-21.37,55.62,73.4,78,27,12.75,RE,1599585485
136,petropavlovskoye,52.07,84.11,44.76,74,4,10.89,RU,1599585788
137,leningradskiy,69.38,178.42,35.91,85,88,4.07,RU,1599586062
138,umbertide,43.31,12.34,78.8,54,0,12.75,IT,1599585660
139,nikolskoye,59.7,30.79,55.99,71,20,4.47,RU,1599586063
140,port lincoln,-34.73,135.87,54.03,75,100,10.96,AU,1599585481
141,souillac,-20.52,57.52,73.4,83,20,11.41,MU,1599585514
142,vyazemskiy,47.54,134.75,64.4,86,62,7.85,RU,1599585789
143,kahului,20.89,-156.47,78.8,65,1,4.7,US,1599586063
144,asyut,27.18,31.18,93.2,38,0,16.11,EG,1599585789
145,jamestown,42.1,-79.24,75.99,69,40,5.82,US,1599585957
146,alofi,-19.06,-169.92,71.6,88,94,12.75,NU,1599585492
147,gazanjyk,39.24,55.52,72.9,18,1,11.25,TM,1599585790
148,oeiras do para,-2.0,-49.85,99.99,28,9,5.77,BR,1599585790
149,severo-yeniseyskiy,60.37,93.04,39.92,99,96,0.51,RU,1599585790
150,mareeba,-17.0,145.43,69.8,88,40,13.87,AU,1599585790
151,kavieng,-2.57,150.8,82.67,79,98,13.06,PG,1599585785
152,santarem,-2.44,-54.71,91.4,63,20,11.41,BR,1599585791
153,buenos aires,-34.61,-58.38,66.0,72,40,6.93,AR,1599585604
154,sinnamary,5.38,-52.95,88.23,59,54,8.32,GF,1599585791
